customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
25,Geoff,Assaf,M,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,45.4
26,Trixi,Ginnelly,F,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,43.9
27,Garvin,Klees,M,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,43.6
28,Fee,Zellmer,M,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,48.6
29,Mona,Sancraft,F,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,53.8
30,Darrick,Helleckas,M,18,1961-10-18,,IT,Affluent Customer,N,Yes,6.0,60.5
31,Star,Praton,F,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,59.4
32,Marion,Vanichkin,F,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,27.0
33,Ernst,Hacon,M,44,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,11.0,64.8
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,178.4
35,Margaretha,Strettle,F,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,58.6
36,Lurette,Stonnell,F,33,1977-11-09,VP Quality Control,,Affluent Customer,N,No,22.0,44.5
37,Laurie,Dwerryhouse,F,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,36.3
38,Cordi,Merman,F,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,66.5
39,Hunfredo,Smalley,M,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,43.0
40,Tomasine,Jerche,F,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,40.5
41,Basilius,Coupe,M,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,46.0
42,Chiquita,Durnall,F,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,45.1
43,Indira,Belt,F,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,39.2
44,Neron,Verick,M,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,40.5
45,Trace,Woodhead,M,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,46.6
46,Kaila,Allin,F,98,1972-02-26,,,Affluent Customer,N,Yes,15.0,50.2
47,Matthew,Jeaycock,M,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,29.5
48,Rebbecca,Casone,F,46,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8.0,46.7
49,Nolly,Ownsworth,M,63,1994-01-26,VP Quality Control,,Affluent Customer,N,No,1.0,28.2
50,Whitby,Schapero,M,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,41.6
51,Fidelio,Dilke,M,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,62.4
52,Curran,Bentson,M,57,1988-06-22,,Financial Services,Mass Customer,N,Yes,13.0,33.8
53,Agnella,Gocke,F,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,68.0
54,Loralyn,Wonfor,F,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,55.8
55,Linc,Jillions,M,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,65.6
56,Reese,Ensor,M,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,25.8
57,Abba,Masedon,M,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,33.9
58,Dalenna,Pinnock,F,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,,17.0,54.8
59,Niki,Heathcote,M,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,3.0,22.2
60,Nadiya,Champerlen,F,18,1970-02-04,,Manufacturing,Mass Customer,N,No,10.0,52.2
61,Kacey,Rowbottom,F,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,62.4
62,Sorcha,Roggers,F,38,1979-07-06,,IT,Mass Customer,N,Yes,22.0,42.8
63,Ebony,Zini,F,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,56.8
64,Gerek,Yve,M,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,44.1
65,Yale,Tanser,M,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,46.1
66,Anselm,Gawne,M,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,20.1
67,Vernon,,M,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,61.9
68,Dahlia,Eddoes,F,37,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,9.0,48.0
69,Heidi,Milner,F,16,1969-06-22,Web Developer II,,Mass Customer,N,No,6.0,52.8
70,Foster,Vannoort,M,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,29.1
71,Hoyt,Glavias,M,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,37.2
72,Sammy,Cheese,M,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,50.2
73,Minette,Worters,F,16,1960-05-27,Teacher,,Affluent Customer,N,Yes,5.0,61.9
74,Pansy,Kiddie,F,94,1969-06-19,,,Mass Customer,N,Yes,6.0,52.9
75,Dollie,Sealy,F,28,1978-07-15,VP Product Management,Property,Mass Customer,N,,19.0,43.8
76,Rea,Hasser,F,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,44.3
77,Shermie,Andrin,M,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,,7.0,32.6
78,Arch,Van der Kruis,M,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,37.1
79,Tybi,Silliman,F,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,53.6
80,Pablo,Small,M,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,44.0
81,Bee,Blazewicz,F,58,1986-09-04,,Health,High Net Worth,N,No,13.0,35.6
82,Gleda,Cokely,F,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,56.8
83,Kerr,Simmell,M,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,55.2
84,Rich,Mathiasen,M,78,1958-02-07,Accountant III,,Mass Customer,N,Yes,14.0,64.2
85,Kane,Tixall,M,1,1958-05-21,Analyst Programmer,,Mass Customer,N,No,8.0,63.9
86,Job,Sleney,M,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,33.1
87,Fields,Langdon,M,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,48.0
88,Malynda,Tumber,F,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,56.2
89,Benedicto,Hoxey,M,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,55.3
90,Cary,Garron,M,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,37.4
91,Dylan,Meaker,M,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,67.2
92,Jodee,Judkins,F,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,41.6
93,Gordon,Gowar,M,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,45.8
94,Wallache,Simchenko,M,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,47.7
95,Nomi,Mallinder,F,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,61.3
96,Heath,Olford,M,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,53.7
97,Arne,Corain,M,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,42.7
98,Allianora,Babalola,F,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,66.1
99,Reggie,Mulliner,M,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,23.9
100,Tripp,Steed,M,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,54.0
101,Goran,Kwietek,M,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,46.3
102,Langsdon,Tranfield,M,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,65.4
103,Ethyl,Runham,F,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,25.0
104,Odille,Panketh,F,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,,9.0,43.9
105,Maribeth,Pristnor,F,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,20.6
106,Glyn,,M,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,55.8
107,Pris,Stallebrass,F,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,31.8
108,Kayle,Mingaud,F,4,1994-03-14,,,High Net Worth,N,No,3.0,28.1
109,Cody,Blabey,M,16,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4.0,43.4
110,Sascha,St. Quintin,M,23,2000-07-31,,Financial Services,Affluent Customer,N,No,1.0,21.7
111,Cele,Evason,F,65,1993-08-29,Analyst Programmer,,Mass Customer,N,No,2.0,28.6
112,Shena,Parren,F,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,46.7
113,Gage,Nickless,M,67,1956-05-06,Staff Scientist,,Mass Customer,N,No,20.0,66.0
114,Sunny,Swindells,F,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,36.5
115,Alberik,Mereweather,M,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,40.3
116,Scottie,Swiffen,M,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,23.2
117,Nance,Suttling,F,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,40.2
118,Prentice,Pearmain,M,43,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,19.0,62.5
119,Willey,Chastanet,M,9,1981-12-04,Associate Professor,,High Net Worth,N,Yes,9.0,40.4
120,Sloan,Wagg,M,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,43.6
121,Myles,Pauncefort,M,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,64.6
122,Colver,Itter,M,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,43.0
123,Almeta,Kalinsky,F,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,33.4
124,Kath,Cunney,F,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,27.0
125,Darrelle,Antoniewski,F,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,62.1
126,Norman,Cliff,M,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,29.5
127,Merrili,Whitear,F,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,47.4
128,Isidro,Cypler,M,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,44.8
129,Weidar,Silkstone,M,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,36.8
130,Raddy,Delete,M,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,24.8
131,Jana,Renyard,F,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,57.5
132,Celesta,Willavoys,F,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,58.8
133,Eldridge,Fiddeman,M,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,44.9
134,Merna,McCulloch,F,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,24.7
135,Rosalia,Sigart,F,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,47.3
136,Mel,Bennet,M,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,48.9
137,Vaughn,Artin,M,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,,10.0,34.4
138,Onofredo,Franc,M,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,37.0
139,Gar,,M,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,57.8
140,Morrie,Flaxon,M,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,27.9
141,Townsend,Trobe,M,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,67.9
142,Bentley,Fortesquieu,M,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,54.7
143,Kendall,Figg,M,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,64.7
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,No,,
145,Filippo,Ferrara,M,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,24.8
146,Ricoriki,Matlock,M,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,37.0
147,Rea,Pattrick,F,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,48.4
148,Jaquith,Maffey,F,69,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,5.0,41.0
149,Drucy,Kausche,F,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,27.2
150,Bradly,Crosse,M,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,38.7
151,Donnie,Brimson,M,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,57.2
152,Stephana,Cardew,F,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,41.1
153,Lorilyn,Walshe,F,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,44.7
154,Faydra,Dulieu,F,90,1958-02-13,Junior Executive,,Mass Customer,N,No,11.0,64.2
155,Orran,Bogges,M,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,36.3
156,Shayla,Rimmington,F,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,42.6
157,Chad,Houtby,M,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,47.4
158,Hamlin,Odams,M,99,1984-09-03,Internal Auditor,,Affluent Customer,N,No,5.0,37.6
159,Arin,Matskevich,M,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,35.0
160,Wake,Durning,M,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,57.8
161,Tadd,Bloss,M,49,1976-01-21,,,Mass Customer,N,No,16.0,46.3
162,Port,Acuna,M,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,42.7
163,Kessia,Helder,F,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,45.6
164,Aarika,Van Vuuren,F,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,22.7
165,Aldon,Roelofs,M,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,38.1
166,Elston,Oleszczak,M,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,66.9
167,Nathalie,Tideswell,F,95,1969-10-27,,Health,High Net Worth,N,Yes,17.0,52.5
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,Yes,,
169,Alfy,Bruhnke,M,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,64.5
170,Jammal,Gever,M,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,46.9
171,Halli,Davidoff,F,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,51.4
172,Hilton,Carney,M,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,33.6
173,Ebba,Hanselmann,F,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,25.3
174,Catie,Tosspell,F,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,32.4
175,Templeton,Hambrook,M,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,46.4
176,Angelo,Clayal,M,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,30.0
177,Ondrea,Pablos,F,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,32.5
178,Matthieu,Bertelmot,M,2,1967-04-03,,,Affluent Customer,N,No,8.0,55.1
179,Esteban,Sewill,M,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,56.0
180,Trisha,Neasham,F,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,50.6
181,Pavla,Braunle,F,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,39.4
182,Lydon,Dahlman,M,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,29.4
183,Dannie,Hissie,F,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,24.7
184,Nappie,Paolo,M,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,50.4
185,Crosby,Walcot,M,80,1979-12-13,,Property,Mass Customer,N,Yes,13.0,42.4
186,Mireielle,Jeppe,F,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,48.0
187,Pincas,Ather,M,97,1954-01-28,Structural Engineer,,Mass Customer,N,No,11.0,68.3
188,Audry,Seine,F,54,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0,46.8
189,Umberto,Torricella,M,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0,40.8
190,Hayley,Girardengo,F,42,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0,43.2
191,Christopher,Heining,M,22,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,6.0,62.0
192,Goldi,Osler,F,2,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0,43.4
193,Foss,Hardes,M,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0,57.8
194,Ursala,Ferrai,F,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0,47.4
195,Talyah,Rylatt,F,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,63.5
196,Swen,Odhams,M,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0,56.2
197,Avis,,F,32,1977-01-27,,,High Net Worth,N,No,5.0,45.2
198,Vanya,Gumb,F,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0,40.4
199,Verla,Alven,F,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0,44.2
200,Hube,Weald,M,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,65.2
201,Salem,Huie,M,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,56.0
202,Audie,Pillinger,F,38,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0,58.8
203,Donovan,Conry,M,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0,58.3
204,Thorny,Hackworth,M,56,1976-10-01,Editor,Financial Services,Mass Customer,N,,5.0,45.6
205,Rolfe,Kellard,M,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0,63.4
206,Mari,Chevolleau,F,98,1954-07-19,Statistician I,,Mass Customer,N,Yes,14.0,67.8
207,Adena,Whyman,F,9,1994-08-10,,,Mass Customer,N,No,7.0,27.7
208,Rutter,Excell,M,57,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0,27.5
209,Udall,Bellard,M,9,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,6.0,64.7
210,Albrecht,Thomasson,M,50,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0,58.4
211,Beitris,,F,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0,48.1
212,Nanice,Ellse,F,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1.0,20.4
213,Lockwood,Exroll,M,13,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6.0,25.9
214,Jeramie,Cellier,M,82,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6.0,64.4
215,Debera,Foxworthy,F,37,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18.0,47.8
216,Cinderella,Parcall,F,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0,27.3
217,Jeralee,Quartly,F,63,1979-12-09,,Manufacturing,High Net Worth,N,No,16.0,42.4
218,Stefa,Dunnan,F,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0,28.7
219,Markus,Mughal,M,9,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7.0,57.4
220,Jeniffer,Apark,F,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,68.0
221,Mara,Bloore,F,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0,42.1
222,Nev,Larive,M,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0,43.6
223,Ossie,Meaton,M,13,1983-11-26,VP Sales,,Affluent Customer,N,Yes,14.0,38.4
224,Morgun,Girvan,M,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0,54.4
225,Brittaney,Pring,F,84,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13.0,45.1
226,Bondie,Letty,M,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0,44.5
227,Wendall,McKeand,M,99,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18.0,48.7
228,Lucia,Pickervance,F,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0,35.9
229,Vaughn,Lambis,M,30,1966-03-06,,Property,High Net Worth,N,No,19.0,56.1
230,Maegan,Scyone,F,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0,67.9
231,Basile,Winsor,M,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0,26.7
232,Zaria,Koeppke,F,94,1987-11-11,Professor,Retail,Mass Customer,N,No,12.0,34.4
233,Art,Barwell,M,34,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13.0,35.7
234,Mead,Alpes,F,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12.0,52.7
235,Leona,Phateplace,F,30,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,45.3
236,Tybalt,Gillingwater,M,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0,67.5
237,Reginald,Dartan,M,18,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11.0,48.1
238,Max,Bilborough,M,54,1984-02-04,Programmer III,,Mass Customer,N,Yes,14.0,38.2
239,Wells,Pressman,M,62,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0,29.4
240,Gavin,Fawks,M,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0,32.7
241,Quillan,Duigan,M,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20.0,35.0
242,Taite,Droghan,M,17,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0,30.1
243,Barbara,Croxley,F,94,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14.0,45.6
244,Germayne,Sperry,M,57,1974-11-25,,Retail,Affluent Customer,N,,8.0,47.4
245,Noell,Grahlmans,F,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1.0,20.6
246,Binny,Whight,F,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9.0,31.1
247,Kristal,Joysey,F,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,39.0
248,Inger,Eskell,F,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0,44.0
249,Darcy,Slay,M,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9.0,29.6
250,Kristofer,,M,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13.0,34.0
251,Mala,,F,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0,44.3
252,Anthea,Ruskin,F,39,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0,39.2
